time,open,high,low,close,volume
1780263000000,73650.52000000,73664.90000000,73634.01000000,73664.90000000,11.61824000
1780263300000,73664.90000000,73706.00000000,73664.90000000,73678.14000000,10.15748000
1780263600000,73678.15000000,73748.54000000,73669.99000000,73746.00000000,17.54061000
1780263900000,73745.99000000,73924.00000000,73745.99000000,73850.00000000,85.23496000
1780264200000,73850.00000000,73886.00000000,73798.00000000,73852.79000000,39.01653000
1780264500000,73852.79000000,73900.00000000,73850.02000000,73892.52000000,24.05219000
1780264800000,73892.52000000,73965.21000000,73686.00000000,73714.97000000,48.29357000
1780265100000,73714.97000000,73821.99000000,73714.97000000,73821.99000000,17.54952000
1780265400000,73821.99000000,73912.00000000,73821.99000000,73912.00000000,31.28990000
1780265700000,73911.99000000,73996.00000000,73884.00000000,73890.41000000,24.84354000
1780266000000,73890.41000000,73890.42000000,73814.00000000,73863.03000000,13.33092000
1780266300000,73863.02000000,73984.00000000,73863.02000000,73892.01000000,23.10203000
1780266600000,73892.00000000,73997.56000000,73876.00000000,73997.55000000,24.29995000
1780266900000,73997.56000000,73997.56000000,73881.31000000,73897.98000000,28.17474000
1780267200000,73897.98000000,73925.34000000,73890.01000000,73901.27000000,7.57010000
1780267500000,73901.27000000,73986.00000000,73901.27000000,73942.77000000,22.84452000
1780267800000,73942.77000000,73969.91000000,73921.43000000,73955.92000000,14.02296000
1780268100000,73955.93000000,73997.56000000,73940.38000000,73944.62000000,28.96997000
1780268400000,73944.62000000,74198.00000000,73944.62000000,74068.08000000,110.65865000
1780268700000,74068.08000000,74088.00000000,73960.70000000,73990.00000000,28.13451000
1780269000000,73990.00000000,73999.00000000,73936.00000000,73936.00000000,25.40441000
1780269300000,73936.01000000,73962.00000000,73904.00000000,73934.87000000,19.73257000
1780269600000,73934.87000000,73934.87000000,73794.00000000,73817.59000000,19.53472000
1780269900000,73817.59000000,73850.00000000,73809.05000000,73831.29000000,16.35462000
1780270200000,73831.29000000,73831.30000000,73602.41000000,73698.00000000,29.74920000
1780270500000,73698.00000000,73698.01000000,73500.00000000,73562.00000000,54.79539000
1780270800000,73561.99000000,73590.00000000,73522.71000000,73584.64000000,19.81258000
1780271100000,73584.65000000,73672.25000000,73568.52000000,73672.25000000,28.78247000
1780271400000,73672.25000000,73708.08000000,73672.24000000,73682.52000000,8.90447000
1780271700000,73682.53000000,73716.00000000,73658.00000000,73674.39000000,13.44569000
1780272000000,73674.39000000,73872.00000000,73654.06000000,73861.33000000,63.17605000
1780272300000,73861.33000000,73879.67000000,73732.48000000,73753.75000000,48.91549000
1780272600000,73753.74000000,73806.16000000,73718.57000000,73806.15000000,24.49997000
1780272900000,73806.15000000,73847.23000000,73724.57000000,73730.26000000,20.68017000
1780273200000,73730.27000000,73826.00000000,73720.94000000,73802.25000000,17.91445000
1780273500000,73802.25000000,73971.31000000,73802.25000000,73960.00000000,27.12952000
1780273800000,73960.00000000,74092.00000000,73836.00000000,73917.43000000,63.40427000
1780274100000,73917.43000000,73940.00000000,73884.61000000,73898.75000000,18.71847000
1780274400000,73898.75000000,73966.84000000,73868.56000000,73946.01000000,14.34333000
1780274700000,73946.00000000,74016.16000000,73942.00000000,73962.72000000,36.58711000
1780275000000,73962.73000000,74000.00000000,73900.36000000,73924.01000000,20.36587000
1780275300000,73924.01000000,73929.46000000,73876.17000000,73885.00000000,10.75500000
1780275600000,73885.01000000,73916.01000000,73736.00000000,73741.15000000,23.93324000
1780275900000,73741.16000000,73749.76000000,73576.00000000,73596.79000000,59.09310000
1780276200000,73596.79000000,73632.00000000,73573.00000000,73573.00000000,32.90764000
1780276500000,73573.00000000,73628.02000000,73573.00000000,73600.19000000,24.31245000
1780276800000,73600.19000000,73649.92000000,73600.18000000,73601.69000000,23.62371000
1780277100000,73601.68000000,73643.63000000,73590.00000000,73604.00000000,40.84359000
1780277400000,73604.01000000,73626.04000000,73592.00000000,73615.98000000,30.74149000
1780277700000,73615.99000000,73642.00000000,73600.00000000,73603.90000000,16.96937000
1780278000000,73603.90000000,73652.00000000,73461.35000000,73498.00000000,92.95177000
1780278300000,73498.00000000,73572.00000000,73447.11000000,73563.73000000,25.69431000
1780278600000,73563.74000000,73563.74000000,73350.00000000,73370.00000000,47.28756000
1780278900000,73369.99000000,73370.00000000,73278.02000000,73292.92000000,46.18442000
1780279200000,73292.92000000,73388.00000000,73222.00000000,73370.01000000,166.56542000
1780279500000,73370.01000000,73548.09000000,73370.00000000,73520.00000000,57.75151000
1780279800000,73520.00000000,73562.29000000,73506.22000000,73548.46000000,10.55930000
1780280100000,73548.45000000,73553.52000000,73454.00000000,73464.29000000,20.78869000
